,accuracy,precision,recall,f1,auc
TRAIN,0.7200741903267228,0.6883642249973013,0.7200741903267228,0.702725199030122,0.5065898539716884
VALIDATION,0.8528628495339547,0.840006172090645,0.8528628495339547,0.8358223156681588,0.8420690102953672
TEST,0.8477393617021277,0.833204989881598,0.8477393617021277,0.8316392003974581,0.8582532186428291
